career_id,degree_id,requirement_level,notes
1aa96704-791b-44d8-8c0f-6caaf0ee7d84,597837c4-573a-4867-a1d0-a25ea66f80be,eligible,Indicative pathway match based on catalog taxonomy; verify role-specific licensing requirements.
0325c226-1c13-475d-8452-262dcb59bce1,597837c4-573a-4867-a1d0-a25ea66f80be,eligible,Indicative pathway match based on catalog taxonomy; verify role-specific licensing requirements.
34da0d12-45cd-46a0-9d60-bba2e61fcaa1,597837c4-573a-4867-a1d0-a25ea66f80be,eligible,Indicative pathway match based on catalog taxonomy; verify role-specific licensing requirements.
47d6e011-6a62-4f92-9ed4-fa7ce06677eb,597837c4-573a-4867-a1d0-a25ea66f80be,eligible,Indicative pathway match based on catalog taxonomy; verify role-specific licensing requirements.
db5e9b3c-f693-4bba-82f2-3a01ac37660a,5834e2e0-66a5-4bc6-bf9c-ea31fb5d8c36,eligible,Indicative pathway match based on catalog taxonomy; verify role-specific licensing requirements.
7a0d296d-f8fd-42b7-97a1-f7b89f652809,5834e2e0-66a5-4bc6-bf9c-ea31fb5d8c36,eligible,Indicative pathway match based on catalog taxonomy; verify role-specific licensing requirements.
eeb1948b-6ab8-4650-8b67-8e24dc1deec0,5834e2e0-66a5-4bc6-bf9c-ea31fb5d8c36,eligible,Indicative pathway match based on catalog taxonomy; verify role-specific licensing requirements.
96f4024b-91f3-42c0-a331-d53859e32506,5834e2e0-66a5-4bc6-bf9c-ea31fb5d8c36,eligible,Indicative pathway match based on catalog taxonomy; verify role-specific licensing requirements.
b0d4a1c4-f2fc-4163-9efc-cdda7a2eda2d,d0c907ee-5b63-41b5-bb03-c8ec4bb79134,eligible,Indicative pathway match based on catalog taxonomy; verify role-specific licensing requirements.
3ddb934d-6593-464f-86d7-e526f4e24fa3,d0c907ee-5b63-41b5-bb03-c8ec4bb79134,eligible,Indicative pathway match based on catalog taxonomy; verify role-specific licensing requirements.
0e2c5577-818c-4206-be75-8503f86044e4,d0c907ee-5b63-41b5-bb03-c8ec4bb79134,eligible,Indicative pathway match based on catalog taxonomy; verify role-specific licensing requirements.
c179ba01-cba3-4604-961d-7786127ae2f4,d0c907ee-5b63-41b5-bb03-c8ec4bb79134,eligible,Indicative pathway match based on catalog taxonomy; verify role-specific licensing requirements.
5b989f35-a9cc-4ae2-bebf-9f37e7d6d962,b20ac2bb-2804-4d01-96bf-41b4a473517f,eligible,Indicative pathway match based on catalog taxonomy; verify role-specific licensing requirements.
e93c159f-4323-4992-82b7-16967ce87472,b20ac2bb-2804-4d01-96bf-41b4a473517f,eligible,Indicative pathway match based on catalog taxonomy; verify role-specific licensing requirements.
