id,title,emoji,description,salary_entry,salary_mid,demand_index,ai_risk,required_education,alternatives,tags,created_at,updated_at,salary_senior,category,skills_required,degrees_accepted,certifications,future_demand,growth_rate,top_companies,remote_opportunities,career_code,canonical_name,day_to_day_summary,personality_fit,source_system,source_reference,data_version,last_reviewed_at,is_published
fd3e273c-4cf1-4b20-9122-2df8484865da,Accessibility Specialist,💻,Ensures products are accessible.,8,20,88,High,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,36,tech,"{Programming,""Problem Solving"",""System Design"",Cloud,Git}","{""B.Tech CSE"",BCA,MCA,""B.Sc IT"",Bootcamp}","{""AWS Certified"",""Google Cloud Cert"",""Coursera Cert"",""Meta Cert""}",Very High,14,"{Infosys,Amazon,Google,Razorpay}",None,accessibility-specialist,Accessibility Specialist,Ensures products are accessible.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
1941ffd3-962a-4a65-a68b-9ce983610e7f,Account Executive,💼,Closes B2B sales deals.,2,8,70,High,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,23,business,"{Communication,Strategy,Excel,""Project Management"",""Stakeholder Mgmt""}","{BBA,MBA,B.Com,""Diploma in Mgmt""}","{PMP,""Six Sigma"",""Google PM Cert"",""HubSpot Cert""}",High,4,"{BCG,McKinsey,TCS,Bain}",None,account-executive,Account Executive,Closes B2B sales deals.,"Decisive, persuasive, commercially aware and comfortable with ambiguity.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
0b984268-b7f8-40a1-aed6-f4ade5897cd1,Account Manager,💼,Manages relationships with existing clients.,4,8,90,Medium,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,23,business,"{Communication,Strategy,Excel,""Project Management"",""Stakeholder Mgmt""}","{BBA,MBA,B.Com,""Diploma in Mgmt""}","{PMP,""Six Sigma"",""Google PM Cert"",""HubSpot Cert""}",High,24,"{Deloitte,McKinsey,Bain,TCS}",Medium,account-manager,Account Manager,Manages relationships with existing clients.,"Decisive, persuasive, commercially aware and comfortable with ambiguity.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
c036bbc5-03a4-45e0-985e-eed3fde14342,Accountant,💰,Maintains financial records and statements.,2,8,72,High,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,24,finance,"{""Financial Modeling"",Excel,Accounting,Analytics,Communication}","{B.Com,M.Com,CA,CFA,""MBA Finance""}","{CFA,FRM,NISM,CPA}",Medium,19,"{HDFC,ICICI,SBI,""JP Morgan""}",Low,accountant,Accountant,Maintains financial records and statements.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
b3662f0a-eb24-4380-b4c2-f45812015914,Actor,🎬,"Performs roles in film, TV and theater.",7,18,87,Medium,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,36,media,"{Storytelling,Creativity,Editing,Communication,Production}","{""BA Journalism"",BMM,BFA,""Diploma in Film""}","{""Adobe Premiere Cert"",""Avid Cert"",""Camera Cert""}",High,3,"{""Times Group"",Sony,NDTV,Disney}",High,actor,Actor,"Performs roles in film, TV and theater.","Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
a98c5ebd-39c7-449b-8304-2da02a3860ad,Actuary,💰,Uses math to assess risk for insurance and finance.,8,18,49,Low,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,39,finance,"{""Financial Modeling"",Excel,Accounting,Analytics,Communication}","{B.Com,M.Com,CA,CFA,""MBA Finance""}","{CFA,FRM,NISM,CPA}",Low,17,"{ICICI,""Goldman Sachs"",SBI,""JP Morgan""}",None,actuary,Actuary,Uses math to assess risk for insurance and finance.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
634c9313-9316-4de1-8b50-527197fa3cb8,Acupuncturist,🩺,Practices traditional acupuncture.,7,13,76,Medium,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,30,healthcare,"{""Patient Care"",""Clinical Knowledge"",Empathy,Diagnostics,Communication}","{MBBS,BDS,B.Pharm,""B.Sc Nursing"",BPT}","{BLS,ACLS,""NEET PG"",USMLE,""Specialty Boards""}",Low,2,"{Manipal,Fortis,Apollo,AIIMS}",Low,acupuncturist,Acupuncturist,Practices traditional acupuncture.,"Empathetic, resilient, detail-oriented and motivated by service.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
738d1cf0-4ec1-4002-8ccb-39379969eebb,Admissions Officer,📚,Manages college admissions.,3,15,59,High,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,42,education,"{Teaching,Communication,""Curriculum Design"",Patience,Assessment}","{B.Ed,M.Ed,BA,MA,PhD}","{CTET,TET,TEFL,""Online Teaching Cert""}",Very High,22,"{Schools,Vedantu,Universities,Unacademy}",Low,admissions-officer,Admissions Officer,Manages college admissions.,"Patient, communicative, encouraging and committed to lifelong learning.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
1d5d6c43-88f7-4b41-8c6b-e2e6f717313a,Adventure Tour Guide,⚽,Leads adventure tours.,3,14,61,Low,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,37,sports,"{Discipline,""Physical Fitness"",Coaching,""Mental Toughness"",Teamwork}","{BPEd,""Sports Science Degree"",""Coaching Cert""}","{""NIS Coaching"",""ACE Cert"",""First Aid""}",Medium,16,"{Federations,BCCI,""Sports Brands"",Clubs}",Low,adventure-tour-guide,Adventure Tour Guide,Leads adventure tours.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
501a0727-4141-4aa6-992c-77193e7ab8ff,Aerospace Engineer,⚙️,Designs aircraft and spacecraft.,4,9,81,High,,{},{},2026-06-09 00:52:38.116633+00,2026-06-13 04:25:25.412242+00,25,engineering,"{Mathematics,CAD,""Problem Solving"",""Project Mgmt"",""Domain Knowledge""}","{B.Tech,B.E,M.Tech,""Diploma in Engg""}","{GATE,""PE License"",""Six Sigma"",""AutoCAD Cert""}",High,10,"{Tata,Reliance,Siemens,L&T}",Medium,aerospace-engineer,Aerospace Engineer,Designs aircraft and spacecraft.,"Curious, dependable, adaptable and motivated to build domain expertise.",career-gps-research,Career GPS 2026 occupation research model,2026.1,2026-06-13,t
