id,college_id,ranking_body,ranking_category,ranking_year,rank,score,source_url,created_at
28114c91-f98e-4cbe-944e-775459b730b8,02cc9c45-3d67-43b1-9110-6f9a46efa159,Reference Catalog,overall,2026,3945,91.230,,2026-06-14 05:26:28.246259+00
27a27824-4bcd-470a-b087-7b17f476c40d,36006e9c-4876-4a80-ab00-6ea819950ad2,Reference Catalog,overall,2026,3358,73.080,,2026-06-14 05:26:28.246259+00
5b079ec9-84a3-40c4-aa65-88e6e826333d,ef459e36-d135-4923-b998-5b3ad1a263d6,Reference Catalog,overall,2026,3273,95.630,,2026-06-14 05:26:28.246259+00
fd8c1c23-f32f-4ba5-a2c0-79294750c7cb,c5cd83bb-f4fa-45d2-a747-fd668eba4f2a,Reference Catalog,overall,2026,3827,68.950,,2026-06-14 05:26:28.246259+00
a5c66981-af5a-41e8-886a-2cbfd0832eb5,1a858d31-bf75-47f0-b82d-d68644028342,Reference Catalog,overall,2026,1672,77.450,,2026-06-14 05:26:28.246259+00
990e2327-452a-40ad-b84a-53a7be92f17e,c9d119b1-cdb0-4843-8e28-bfc62359cd16,Reference Catalog,overall,2026,292,91.330,,2026-06-14 05:26:28.246259+00
94cf8e63-15f4-49db-a8f9-4011008232e2,9a0d5b53-98fa-4564-91c6-3ee28ff7107c,Reference Catalog,overall,2026,516,40.690,,2026-06-14 05:26:28.246259+00
2fd145b9-638e-4470-9260-5d7297e487b8,9a616bbb-d52e-4cf8-86d4-60427a8d157b,Reference Catalog,overall,2026,995,67.480,,2026-06-14 05:26:28.246259+00
3edff379-1da1-4355-ac16-2c8f43710e55,705f90dd-f64c-4caa-98b6-ae9d4e6006ab,Reference Catalog,overall,2026,3503,75.080,,2026-06-14 05:26:28.246259+00
5c23d3cb-3009-48d3-9178-e6f72b485ec2,de96081f-33fd-4106-94fb-c48a2a7badd5,Reference Catalog,overall,2026,3565,62.630,,2026-06-14 05:26:28.246259+00
ff277465-050d-47a8-9a00-6d0c2a7bb229,5ebc35a3-dfdb-4397-aaec-21f158766c26,Reference Catalog,overall,2026,2441,61.660,,2026-06-14 05:26:28.246259+00
f71de667-e3e7-4c53-87b4-dadb124e3f18,0078794d-e6d0-41e3-92b0-02a79301c1ca,Reference Catalog,overall,2026,205,70.740,,2026-06-14 05:26:28.246259+00
c5aaa190-1ea6-4ea8-a93b-d11ddbf3fdc2,5a3843ab-641d-46a8-b17c-e9d36fbd09ce,Reference Catalog,overall,2026,4285,47.960,,2026-06-14 05:26:28.246259+00
d6709289-cbfe-4377-93f9-f27a4b162ef4,1480a34c-fa0c-4d3a-b613-88593d28c59c,Reference Catalog,overall,2026,4844,94.230,,2026-06-14 05:26:28.246259+00
1bd89988-9d59-4476-b4bc-e245b6c94be2,139c4551-811e-499c-8427-d4a907d8229d,Reference Catalog,overall,2026,3152,52.880,,2026-06-14 05:26:28.246259+00
5e864d62-f69b-4e0a-b8d6-6d949e95bf7b,5ec477e0-292f-4d6a-8a63-d43884405cc7,Reference Catalog,overall,2026,4236,40.310,,2026-06-14 05:26:28.246259+00
fe29a216-f6f1-4d87-924e-a65cb3747899,80624fa7-c67c-4a70-96f6-5d3aad9aece7,Reference Catalog,overall,2026,400,95.430,,2026-06-14 05:26:28.246259+00
bf81fb03-5cce-4317-83e0-a1f26b25b4ce,ace8a915-cc8d-4322-8ea7-8eccee962ea5,Reference Catalog,overall,2026,1179,45.070,,2026-06-14 05:26:28.246259+00
8c911fd0-9380-436b-b734-3151fed900c1,229fe647-6bbb-446e-ac23-ba7d3f7d407e,Reference Catalog,overall,2026,3811,40.320,,2026-06-14 05:26:28.246259+00
aefa89ff-c6cc-4541-98b0-6e550a7a1556,1e8287ec-6d39-407f-8ca2-2ed116dbfb97,Reference Catalog,overall,2026,510,63.540,,2026-06-14 05:26:28.246259+00
5ef4db99-34a5-47c9-95cb-e88987b30a5d,9b36b16e-4fb4-4c05-90ed-3405d2bae544,Reference Catalog,overall,2026,1402,60.670,,2026-06-14 05:26:28.246259+00
2ef99704-6d84-483e-9883-9bda8dd437b6,28a465bd-c1a1-45ab-b75f-f25215fedab6,Reference Catalog,overall,2026,567,98.860,,2026-06-14 05:26:28.246259+00
4eaa14a4-9c6e-4bb9-8f17-2f6de9dd98f6,afbb1114-db67-4214-9c62-cd40a155ed1d,Reference Catalog,overall,2026,1620,80.610,,2026-06-14 05:26:28.246259+00
cf5994ae-8695-4c27-89eb-7851e9cf58e5,76f9167b-fd41-450f-8330-c5dae3e2ce23,Reference Catalog,overall,2026,3225,82.720,,2026-06-14 05:26:28.246259+00
4a9e61af-b284-4eac-90eb-85ef2c0c3333,0edea13d-e346-4039-9620-e15689b1b1b2,Reference Catalog,overall,2026,242,43.110,,2026-06-14 05:26:28.246259+00
a4842ffe-be13-43bb-bcdf-dcdd437691fd,b47176ff-389d-4fd8-9eea-791dcae4832d,Reference Catalog,overall,2026,4233,69.540,,2026-06-14 05:26:28.246259+00
80cac73d-8a3d-4f2e-965e-be885c922e9a,b533728a-f2ee-405b-afea-b59fb0632452,Reference Catalog,overall,2026,4925,57.390,,2026-06-14 05:26:28.246259+00
84d13627-3777-4867-888e-fed65c9583e4,4dd654a4-fb53-4168-ba53-e5cf4398ebfd,Reference Catalog,overall,2026,2390,82.060,,2026-06-14 05:26:28.246259+00
7418a876-57dc-475e-822e-53b12f0acf23,d8ef509c-5600-4475-96e9-f640748ec3f5,Reference Catalog,overall,2026,1509,94.710,,2026-06-14 05:26:28.246259+00
42e0b846-ac57-488c-8050-9720c62949be,5931cbc9-d87d-4244-a3aa-9c2d41ca6a69,Reference Catalog,overall,2026,2267,93.450,,2026-06-14 05:26:28.246259+00
5ac1937d-397e-49b3-a96d-5cf50adae56e,f91735d5-3c98-4934-b1d7-48a9149b08b6,Reference Catalog,overall,2026,2108,46.320,,2026-06-14 05:26:28.246259+00
cdd5cdf6-6de8-4e32-a058-82cf2aedbd29,253c02e3-4615-4b13-8ba0-0a26e2374438,Reference Catalog,overall,2026,2245,89.590,,2026-06-14 05:26:28.246259+00
c30aa4b2-3108-4526-8be1-d689511581fc,2c0e7f42-aaaf-4315-9586-7b56b51fa19d,Reference Catalog,overall,2026,2778,79.900,,2026-06-14 05:26:28.246259+00
c7f9eea0-713c-4bd5-a142-b6998a386c29,6b842aa5-dee2-49a5-a276-831c3f1a01f2,Reference Catalog,overall,2026,2171,92.410,,2026-06-14 05:26:28.246259+00
e38f637b-3e3b-47de-a32b-12b8890ce668,45ecaffe-790e-416d-a5c9-560ff5a94afa,Reference Catalog,overall,2026,622,49.000,,2026-06-14 05:26:28.246259+00
e3b1c156-6b2a-4d36-9904-2061269967be,039ecace-0111-442d-9308-e7b5970b9080,Reference Catalog,overall,2026,1689,41.160,,2026-06-14 05:26:28.246259+00
210609a1-a59a-469a-b1ef-7bb3d7acdcf0,de516236-5418-4d1d-9975-28bde72a6551,Reference Catalog,overall,2026,546,53.990,,2026-06-14 05:26:28.246259+00
5392b223-9ccf-4e54-b7cb-586b02478b8c,9e7f2eaa-edd5-442f-978f-1d254e126274,Reference Catalog,overall,2026,88,94.990,,2026-06-14 05:26:28.246259+00
64752197-c70a-486d-a30f-31beeed01e41,ef6f9006-6df5-4020-8271-85854ce1cf2e,Reference Catalog,overall,2026,1082,40.530,,2026-06-14 05:26:28.246259+00
61713656-a33c-4528-9a02-cc6aedd18066,fde9b37b-25bb-4098-9a48-9e3d52793bb0,Reference Catalog,overall,2026,4386,73.490,,2026-06-14 05:26:28.246259+00
8791a98d-8d5e-419b-9358-b7da6ea33a63,dac3f4cf-6fa3-4992-b526-567e502bf38d,Reference Catalog,overall,2026,5103,73.600,,2026-06-14 05:26:28.246259+00
ca24fbc2-3652-48a1-86e8-79ac6cb94c0c,0a2452d2-9e9f-4469-9ce7-441f3e736139,Reference Catalog,overall,2026,1462,89.630,,2026-06-14 05:26:28.246259+00
a94f10c6-88ab-4c95-bf99-339ffd20c764,d5ed4193-97d7-4793-b3ed-122316cbc60b,Reference Catalog,overall,2026,4888,95.770,,2026-06-14 05:26:28.246259+00
2669233a-987a-4c6b-af2f-2eeaf6e2f8d5,b9512661-858b-42b2-a2af-bf8dfcc95a8d,Reference Catalog,overall,2026,2403,57.680,,2026-06-14 05:26:28.246259+00
f44c16fe-751a-430b-9b4f-152cb5925718,6e95b9c3-490e-4e5a-b431-29e5f2062600,Reference Catalog,overall,2026,3675,87.440,,2026-06-14 05:26:28.246259+00
cad2b611-2fbd-4375-aa03-5154d33b0456,6a5a20c9-bb6e-4466-8165-4ef0d3c5f9dc,Reference Catalog,overall,2026,4194,84.720,,2026-06-14 05:26:28.246259+00
10dbaa44-9bc1-433d-a298-182be0fcd447,3ffc94c9-16c1-4f2b-99c0-3eb996d27d53,Reference Catalog,overall,2026,2883,80.630,,2026-06-14 05:26:28.246259+00
4d382e57-b512-4466-abf0-115f37496072,237b59cd-c9df-4179-bfcd-892e950d2a88,Reference Catalog,overall,2026,30,49.430,,2026-06-14 05:26:28.246259+00
bd5ebd7f-a55a-4f80-a7bd-2d03edf62a1a,aae4b222-7145-4a98-a75d-c0ae9d84b92a,Reference Catalog,overall,2026,372,64.180,,2026-06-14 05:26:28.246259+00
639a64d3-10a7-49da-8e31-b2e7e00e8d83,7efbee04-f8c5-4ad2-a81c-697f2e15bb9b,Reference Catalog,overall,2026,1163,87.240,,2026-06-14 05:26:28.246259+00
6c3021d1-e6f5-40b4-8b92-cc43c3d6b85d,0a021494-45db-4d27-9520-9cffed5122b3,Reference Catalog,overall,2026,18,53.880,,2026-06-14 05:26:28.246259+00
1672e733-1106-4dc8-a5c5-166601580d36,fa83b4c7-8037-4118-af00-f6b3bf68c0dd,Reference Catalog,overall,2026,3641,52.130,,2026-06-14 05:26:28.246259+00
1381f786-f09e-4166-8f7d-e52e1c5283d0,974ab345-8005-4fc0-a5b6-ffeefa328837,Reference Catalog,overall,2026,533,53.850,,2026-06-14 05:26:28.246259+00
2c0ae61e-902f-424a-a79c-6f572124fe0c,d3dd4c40-d875-45c2-8f75-5b31b3390ec8,Reference Catalog,overall,2026,1557,88.850,,2026-06-14 05:26:28.246259+00
5305c8c2-aee2-4a80-b641-9a5b9dec067e,4076b54d-9de5-41df-9241-6cec10cd198b,Reference Catalog,overall,2026,4891,67.810,,2026-06-14 05:26:28.246259+00
7c98acee-b3de-4d09-b017-29ae01932d33,62cec681-298d-4f64-878a-8932f50da327,Reference Catalog,overall,2026,4789,84.230,,2026-06-14 05:26:28.246259+00
61ba2c9c-6dc8-41f3-941e-e4d5fef75eed,c8a754cb-dd15-43cd-887f-b6a2289afe5a,Reference Catalog,overall,2026,3973,48.920,,2026-06-14 05:26:28.246259+00
0e8eef49-8e22-426c-879b-ff6bb6792457,27ac4d28-7641-417b-8796-bc7dcbd80411,Reference Catalog,overall,2026,1438,56.350,,2026-06-14 05:26:28.246259+00
387992d5-fe3d-4f0f-bbaa-6960e1643753,94c941dc-ccd5-49b5-906a-488f8929949f,Reference Catalog,overall,2026,3698,97.510,,2026-06-14 05:26:28.246259+00
44db568c-5ef1-4b8e-8c2b-db5aa86b500b,ff7939b1-8c19-482a-8196-7a3cdc235c72,Reference Catalog,overall,2026,4226,91.440,,2026-06-14 05:26:28.246259+00
613539f5-10da-494c-be62-8c186b67ea46,f582ec48-e733-4182-aa31-e13942101ae7,Reference Catalog,overall,2026,4314,99.210,,2026-06-14 05:26:28.246259+00
5098af3a-b2d2-4795-9e42-a391e2df0839,593f9475-73f5-42ee-aa9a-56188657508a,Reference Catalog,overall,2026,1557,48.530,,2026-06-14 05:26:28.246259+00
