id,name,city,state,type,ranking,avg_fees,website,offered_degrees,description,created_at,updated_at,college_code,canonical_name,country_code,postal_code,source_system,source_reference,data_version,last_reviewed_at,is_published
949e4951-043f-4302-a02c-1b0412b697c6,IIM Ahmedabad,Ahmedabad,Gujarat,autonomous,1,2400000,,{MBA},Top management institute,2026-06-08 07:22:51.257597+00,2026-06-14 05:25:28.413904+00,iim-ahmedabad-ahmedabad,IIM Ahmedabad,IN,,education-catalog,,2026.1,,t
a49c61d8-33df-4879-bb8f-527e62dfc986,IIT Bombay,Mumbai,Maharashtra,government,1,250000,,"{B.Tech,M.Tech}",Premier engineering institute,2026-06-08 07:22:51.257597+00,2026-06-14 05:25:28.413904+00,iit-bombay-mumbai,IIT Bombay,IN,,education-catalog,,2026.1,,t
84bf504c-6abc-4269-a043-2340a7af0818,NID Ahmedabad,Ahmedabad,Gujarat,autonomous,1,800000,,"{B.Des,M.Des}",Top design institute,2026-06-08 07:22:51.257597+00,2026-06-14 05:25:28.413904+00,nid-ahmedabad-ahmedabad,NID Ahmedabad,IN,,education-catalog,,2026.1,,t
0be56716-9228-436d-8ef1-9010c10052ab,SRCC Delhi,New Delhi,Delhi,government,1,60000,,"{B.Com,""BA Economics""}",Top commerce college,2026-06-08 07:22:51.257597+00,2026-06-14 05:25:28.413904+00,srcc-delhi-new-delhi,SRCC Delhi,IN,,education-catalog,,2026.1,,t
02cc9c45-3d67-43b1-9110-6f9a46efa159,Institute of Technology and Management — Mumbai Reference Campus 0001,Mumbai,Maharashtra,government,1,110000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00001,Institute of Technology and Management — Mumbai Reference Campus 0001,IN,100001,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
36006e9c-4876-4a80-ab00-6ea819950ad2,College of Arts and Sciences — Bengaluru Reference Campus 0002,Bengaluru,Karnataka,private,2,130000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00002,College of Arts and Sciences — Bengaluru Reference Campus 0002,IN,100002,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
ef459e36-d135-4923-b998-5b3ad1a263d6,School of Business and Innovation — Chennai Reference Campus 0003,Chennai,Tamil Nadu,deemed,3,150000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00003,School of Business and Innovation — Chennai Reference Campus 0003,IN,100003,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
c5cd83bb-f4fa-45d2-a747-fd668eba4f2a,Institute of Engineering and Applied Studies — Lucknow Reference Campus 0004,Lucknow,Uttar Pradesh,autonomous,4,170000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00004,Institute of Engineering and Applied Studies — Lucknow Reference Campus 0004,IN,100004,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
1a858d31-bf75-47f0-b82d-d68644028342,College of Professional Education — Ahmedabad Reference Campus 0005,Ahmedabad,Gujarat,government,5,190000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00005,College of Professional Education — Ahmedabad Reference Campus 0005,IN,100005,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
c9d119b1-cdb0-4843-8e28-bfc62359cd16,Academy of Digital and Design Studies — Jaipur Reference Campus 0006,Jaipur,Rajasthan,private,6,210000,,{},"Generated reference institution record for import-pipeline validation. Verify identity, website, rankings, accreditation, fees, and outcomes against authoritative sources before publication.",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-college-00006,Academy of Digital and Design Studies — Jaipur Reference Campus 0006,IN,100006,generated-reference-catalog,methodology:geographic-distribution-v1,2026.1,2026-06-14,f
