degree_id,certification_id,relevance,recommendation_level,notes
597837c4-573a-4867-a1d0-a25ea66f80be,dcd44431-2b7c-4c6d-b199-34255161d0a4,4,recommended,Recommended based on broad discipline alignment.
597837c4-573a-4867-a1d0-a25ea66f80be,c6c4a676-84f9-4959-86ad-8f2039db9a54,5,recommended,Recommended based on broad discipline alignment.
597837c4-573a-4867-a1d0-a25ea66f80be,1f9f03bb-43b5-4248-879b-8e3905ace7c6,5,recommended,Recommended based on broad discipline alignment.
5834e2e0-66a5-4bc6-bf9c-ea31fb5d8c36,0c36cae4-adfa-4324-9856-b37c6c407148,4,recommended,Recommended based on broad discipline alignment.
5834e2e0-66a5-4bc6-bf9c-ea31fb5d8c36,dc25fc5e-69b6-4b83-929a-4f9dc8668325,4,recommended,Recommended based on broad discipline alignment.
5834e2e0-66a5-4bc6-bf9c-ea31fb5d8c36,01a2e766-3131-4ee5-85f8-66e30e38b1af,3,recommended,Recommended based on broad discipline alignment.
d0c907ee-5b63-41b5-bb03-c8ec4bb79134,6cf971de-065a-4d5e-a56c-fe0ffdde861f,5,recommended,Recommended based on broad discipline alignment.
d0c907ee-5b63-41b5-bb03-c8ec4bb79134,c6c4a676-84f9-4959-86ad-8f2039db9a54,5,recommended,Recommended based on broad discipline alignment.
d0c907ee-5b63-41b5-bb03-c8ec4bb79134,a81a5e1e-9d1d-4fb4-a409-a50283012269,3,recommended,Recommended based on broad discipline alignment.
b20ac2bb-2804-4d01-96bf-41b4a473517f,6cf971de-065a-4d5e-a56c-fe0ffdde861f,5,recommended,Recommended based on broad discipline alignment.
b20ac2bb-2804-4d01-96bf-41b4a473517f,85cc54f0-d0be-452e-afae-9973fee61aff,5,recommended,Recommended based on broad discipline alignment.
b20ac2bb-2804-4d01-96bf-41b4a473517f,a81a5e1e-9d1d-4fb4-a409-a50283012269,3,recommended,Recommended based on broad discipline alignment.
6f29ba31-e9fb-4d8c-8364-6506eb965c2b,afc9837c-580c-4705-b873-1e8b7e9828f3,5,recommended,Recommended based on broad discipline alignment.
6f29ba31-e9fb-4d8c-8364-6506eb965c2b,c6c4a676-84f9-4959-86ad-8f2039db9a54,4,recommended,Recommended based on broad discipline alignment.
6f29ba31-e9fb-4d8c-8364-6506eb965c2b,c5915310-0c54-4943-a4ae-8bab7b58bd6c,4,recommended,Recommended based on broad discipline alignment.
060f9671-e91a-4f21-ac32-2afb00fac682,6cf971de-065a-4d5e-a56c-fe0ffdde861f,3,recommended,Recommended based on broad discipline alignment.
