id,name,short_name,level,duration_years,stream,description,avg_fees,career_tags,created_at,updated_at,degree_code,canonical_name,eligibility_summary,fee_min_inr,fee_max_inr,source_system,source_reference,data_version,last_reviewed_at,is_published
3135f3e7-713e-4710-ae57-a2a9ad7b7864,Bachelor of Business Administration,BBA,undergrad,3,Commerce,Business undergraduate degree,300000,{business},2026-06-08 07:22:51.257597+00,2026-06-14 05:25:28.413904+00,bachelor-of-business-administration,Bachelor of Business Administration,,300000.00,300000.00,education-catalog,,2026.1,,t
672f6623-85e2-42b8-95c9-232ae12665c1,Bachelor of Commerce,B.Com,undergrad,3,Commerce,Commerce undergraduate degree,150000,"{finance,business}",2026-06-08 07:22:51.257597+00,2026-06-14 05:25:28.413904+00,bachelor-of-commerce,Bachelor of Commerce,,150000.00,150000.00,education-catalog,,2026.1,,t
f710d75e-20a3-4f75-a807-801dc0acf2be,Bachelor of Design,B.Des,undergrad,4,Arts,Design undergraduate degree,600000,"{design,creative}",2026-06-08 07:22:51.257597+00,2026-06-14 05:25:28.413904+00,bachelor-of-design,Bachelor of Design,,600000.00,600000.00,education-catalog,,2026.1,,t
8d3b9c93-49f9-4b5f-91dc-670985db8c20,Bachelor of Technology,B.Tech,undergrad,4,Science,Engineering undergraduate degree,400000,"{tech,ai}",2026-06-08 07:22:51.257597+00,2026-06-14 05:25:28.413904+00,bachelor-of-technology,Bachelor of Technology,,400000.00,400000.00,education-catalog,,2026.1,,t
597837c4-573a-4867-a1d0-a25ea66f80be,Bachelor of Computer Science (General),B.COMP-01,undergrad,3,Computer Science,Undergraduate pathway combining core Computer Science foundations with general applications.,205000,"{computer-science,general}",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-degree-001,Bachelor of Computer Science (General),Class 12 or equivalent with Mathematics; science subjects preferred. Institution-specific entrance requirements may apply.,110000.00,335000.00,generated-reference-catalog,methodology:taxonomy-combination-v1,2026.1,2026-06-14,t
5834e2e0-66a5-4bc6-bf9c-ea31fb5d8c36,Bachelor of Computer Science (Applied Studies),B.COMP-02,undergrad,3,Computer Science,Undergraduate pathway combining core Computer Science foundations with applied studies applications.,230000,"{computer-science,applied-studies}",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-degree-002,Bachelor of Computer Science (Applied Studies),Class 12 or equivalent with Mathematics; science subjects preferred. Institution-specific entrance requirements may apply.,130000.00,370000.00,generated-reference-catalog,methodology:taxonomy-combination-v1,2026.1,2026-06-14,t
d0c907ee-5b63-41b5-bb03-c8ec4bb79134,Bachelor of Computer Science (Advanced Systems),B.COMP-03,undergrad,3,Computer Science,Undergraduate pathway combining core Computer Science foundations with advanced systems applications.,255000,"{computer-science,advanced-systems}",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-degree-003,Bachelor of Computer Science (Advanced Systems),Class 12 or equivalent with Mathematics; science subjects preferred. Institution-specific entrance requirements may apply.,150000.00,405000.00,generated-reference-catalog,methodology:taxonomy-combination-v1,2026.1,2026-06-14,t
b20ac2bb-2804-4d01-96bf-41b4a473517f,Bachelor of Computer Science (Analytics),B.COMP-04,undergrad,3,Computer Science,Undergraduate pathway combining core Computer Science foundations with analytics applications.,280000,"{computer-science,analytics}",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-degree-004,Bachelor of Computer Science (Analytics),Class 12 or equivalent with Mathematics; science subjects preferred. Institution-specific entrance requirements may apply.,170000.00,440000.00,generated-reference-catalog,methodology:taxonomy-combination-v1,2026.1,2026-06-14,t
6f29ba31-e9fb-4d8c-8364-6506eb965c2b,Bachelor of Computer Science (Digital Innovation),B.COMP-05,undergrad,3,Computer Science,Undergraduate pathway combining core Computer Science foundations with digital innovation applications.,305000,"{computer-science,digital-innovation}",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-degree-005,Bachelor of Computer Science (Digital Innovation),Class 12 or equivalent with Mathematics; science subjects preferred. Institution-specific entrance requirements may apply.,190000.00,475000.00,generated-reference-catalog,methodology:taxonomy-combination-v1,2026.1,2026-06-14,t
060f9671-e91a-4f21-ac32-2afb00fac682,Bachelor of Computer Science (Sustainable Practice),B.COMP-06,undergrad,3,Computer Science,Undergraduate pathway combining core Computer Science foundations with sustainable practice applications.,330000,"{computer-science,sustainable-practice}",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-degree-006,Bachelor of Computer Science (Sustainable Practice),Class 12 or equivalent with Mathematics; science subjects preferred. Institution-specific entrance requirements may apply.,210000.00,510000.00,generated-reference-catalog,methodology:taxonomy-combination-v1,2026.1,2026-06-14,t
4800532e-ce5a-4737-8b73-140645531684,Bachelor of Computer Science (Research),B.COMP-07,undergrad,3,Computer Science,Undergraduate pathway combining core Computer Science foundations with research applications.,355000,"{computer-science,research}",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-degree-007,Bachelor of Computer Science (Research),Class 12 or equivalent with Mathematics; science subjects preferred. Institution-specific entrance requirements may apply.,230000.00,545000.00,generated-reference-catalog,methodology:taxonomy-combination-v1,2026.1,2026-06-14,t
c50ea908-fbf6-4bee-b19f-75afe55ecf46,Bachelor of Computer Science (Operations),B.COMP-08,undergrad,3,Computer Science,Undergraduate pathway combining core Computer Science foundations with operations applications.,380000,"{computer-science,operations}",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-degree-008,Bachelor of Computer Science (Operations),Class 12 or equivalent with Mathematics; science subjects preferred. Institution-specific entrance requirements may apply.,250000.00,580000.00,generated-reference-catalog,methodology:taxonomy-combination-v1,2026.1,2026-06-14,t
2048e0b3-1aaf-484e-b090-af8a96e12092,Bachelor of Computer Science (Product Development),B.COMP-09,undergrad,3,Computer Science,Undergraduate pathway combining core Computer Science foundations with product development applications.,405000,"{computer-science,product-development}",2026-06-14 05:26:28.246259+00,2026-06-14 05:26:28.246259+00,edu-degree-009,Bachelor of Computer Science (Product Development),Class 12 or equivalent with Mathematics; science subjects preferred. Institution-specific entrance requirements may apply.,270000.00,615000.00,generated-reference-catalog,methodology:taxonomy-combination-v1,2026.1,2026-06-14,t
